area_name.x,area_code,diabetes_qof_prevalence_17_yrs_17_yrs_persons,percentage_of_people_with_type_2_diabetes_aged_under_40_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_40_to_64_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_65_to_79_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_80_and_over_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_male_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_female_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_white_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_minority_ethnic_origin_all_ages_persons,people_with_type_2_diabetes_who_received_a_blood_glucose_test_all_ages_persons,people_with_type_2_diabetes_who_received_all_8_care_processes_all_ages_persons,people_with_type_2_diabetes_who_achieved_all_three_treatment_targets_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_48_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_58_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_86_mmol_mol_or_less_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_were_offered_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_attended_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,area_name.y,value
Staffordshire and Stoke-on-Trent ICB - 05V ,nE38000173,6.9896327563013,2.65604249667995,35.3917662682603,43.4262948207171,18.4594953519256,57.2377158034529,42.7622841965471,81.6069057104914,4.51527224435591,81.0756972111554,27.0252324037185,36.8861024033438,35.2844187963726,65.6224237427865,93.3223413025556,61.40350877,8.771929825,Staffordshire and Stoke-on-Trent ICB - 05V ,13.147
Greater Manchester ICB - 01W ,nE38000174,6.7758719917313,3.35844318895166,41.8079096045198,38.8888888888889,15.9447583176397,56.9052102950408,43.0947897049592,66.8863779033271,11.4249843063402,89.2341494036409,38.2297551789077,39.3100681909346,32.4533614924322,66.5962689193946,93.4178106300598,65.59139785,1.612903226,Greater Manchester ICB - 01W ,19.108
Staffordshire and Stoke-on-Trent ICB - 05W ,nE38000175,8.55036834063186,5.08021390374332,43.6631016042781,37.9679144385027,13.3155080213904,55.4545454545455,44.572192513369,85.8823529411765,12.5401069518717,81.4705882352941,25.8021390374332,38.1689517912428,34.1160684334116,63.9718215363972,91.8483730291848,63.58024691,4.320987654,Staffordshire and Stoke-on-Trent ICB - 05W ,33.579
North East and North Cumbria ICB - 00P ,nE38000176,7.85884307144325,4.19336051252184,42.4868957483984,39.0215492137449,14.2981945253349,56.2026790914386,43.7973209085614,86.0803727431567,3.90215492137449,88.4100174723355,22.6266744321491,37.5856816450876,32.7949901120633,61.5688859591299,90.9360580092287,73.22404372,2.18579235,North East and North Cumbria ICB - 00P ,29.725
Mid and South Essex ICB - 07G ,nE38000185,7.13559710252813,4.7536231884058,50.0869565217391,34.2608695652174,10.8985507246377,56.1739130434783,43.8260869565217,70.5507246376812,20.8115942028986,86.8405797101449,20.1159420289855,40.1617250673854,34.3353373413494,65.3306613226453,93.3199732798931,74.38016529,4.958677686,Mid and South Essex ICB - 07G ,21.603
Greater Manchester ICB - 02A ,nE38000187,6.41187634869875,3.54020979020979,41.9143356643357,37.4125874125874,17.1765734265734,56.1188811188811,43.8811188811189,65.2972027972028,21.6346153846154,81.9055944055944,31.7307692307692,37.8983050847458,34.6895074946467,65.9528907922912,93.7366167023555,61.70212766,1.063829787,Greater Manchester ICB - 02A ,15.388
Humber and North Yorkshire ICB - 03Q ,nE38000188,5.61768326218474,2.78597181252049,35.6276630612914,43.1006227466404,18.4857423795477,57.2926909210095,42.7073090789905,77.8761061946903,2.88430022943297,86.2667977712226,36.6109472304163,32.3722812341932,28.1152647975078,60.2803738317757,92.7570093457944,63.75838926,16.10738255,Humber and North Yorkshire ICB - 03Q ,12.277
West Yorkshire ICB - 03R ,nE38000190,7.95633783775084,3.71909866549989,42.5289870925399,39.7506016189018,13.9794355720849,56.2021439509954,43.7978560490046,87.5957120980092,6.21308247648217,87.3988186392474,46.6637497265369,38.0658436213992,29.7541394882087,62.9202207727045,92.4485699949824,65.34653465,2.640264026,West Yorkshire ICB - 03R ,26.892
Cheshire and Merseyside ICB - 02E ,nE38000194,6.96070210744033,3.54364736387208,41.6162489196197,39.6715643906655,15.1685393258427,56.0933448573898,43.9066551426102,87.0354364736387,5.87726879861711,85.0907519446845,17.286084701815,36.8729641693811,32.8753180661578,66.2595419847328,92.9262086513995,65.69343066,2.919708029,Cheshire and Merseyside ICB - 02E ,19.312
Hertfordshire and West Essex ICB - 07H ,nE38000197,6.65977184405165,3.18066157760814,41.6984732824427,37.881679389313,17.2391857506361,56.4885496183206,43.5114503816794,71.7557251908397,10.7188295165394,84.5419847328244,32.2201017811705,35.4266538830297,34.2943854324734,65.0606980273141,92.298937784522,54.80769231,3.846153846,Hertfordshire and West Essex ICB - 07H ,16.06
Lancashire and South Cumbria ICB - 02G ,nE38000200,7.17877690176859,2.26130653266332,39.1122278056951,42.5460636515913,16.0804020100503,57.1189279731993,42.7973199329983,91.2897822445561,2.01005025125628,82.998324958124,27.3869346733668,42.8753180661578,35.0912778904665,66.5314401622718,92.4949290060852,64.1509434,1.886792453,Lancashire and South Cumbria ICB - 02G ,19.983
"Leicester, Leicestershire and Rutland ICB - 04V ",nE38000201,6.94666477288181,3.26540064844836,39.7869383974062,41.1069939786938,15.8638258452987,56.9013432144511,43.0986567855489,79.4580824455767,12.1120889300602,87.1236683649838,32.9087540528022,36.5546218487395,31.0547396528705,63.6582109479306,92.9506008010681,48.11320755,2.358490566,"Leicester, Leicestershire and Rutland ICB - 04V ",13.443
Suffolk and North East Essex ICB - 07K ,nE38000204,7.88471893802823,2.55671588044653,35.7940223262514,43.5722002160605,18.1130716600648,56.4638098667627,43.5361901332373,92.7619733525387,3.4209578682031,88.9088944904573,28.2319049333813,38.5048643113159,30.3448275862069,66.2880324543611,92.6977687626775,64.6875,7.1875,Suffolk and North East Essex ICB - 07K ,16.393
Greater Manchester ICB - 02H ,nE38000205,7.85614305921283,3.37820675641351,41.9100838201676,41.0972821945644,13.5890271780544,56.4135128270257,43.5864871729743,89.0525781051562,4.24180848361697,80.01016002032,8.58521717043434,41.8222222222222,36.2941738299904,66.4756446991404,92.4227952881248,66.82692308,3.846153846,Greater Manchester ICB - 02H ,24.857
Cheshire and Merseyside ICB - 12F ,nE38000208,7.3632977330268,3.31460674157303,39.747191011236,40.4775280898876,16.4325842696629,56.5168539325843,43.4550561797753,90.8426966292135,4.57865168539326,87.6966292134831,25.0842696629213,39.4534257120862,37.9365587952579,67.0618391541173,92.3742390259532,72.09302326,1.744186047,Cheshire and Merseyside ICB - 12F ,26.892
North East and North Cumbria ICB - 13T ,nE38000212,6.88758358773077,4.80958340783122,44.3768996960486,36.2417307348471,14.571786161273,55.1045950295012,44.8954049704988,83.9620954764885,11.9971392812444,89.8623279098874,41.8916502771321,34.5574817518248,28.1723862729449,59.976057462091,89.3854748603352,64.64088398,4.419889503,North East and North Cumbria ICB - 13T ,27.297
North East and North Cumbria ICB - 01H ,nE38000215,8.15089603750254,2.45413981160139,36.5642042637581,43.1085770946951,17.8730788299455,56.1229548834903,43.8770451165097,84.9281110560238,1.31383242439266,87.431829449677707,38.9439762022806,37.5452451464298,29.2338709677419,63.9688940092166,91.5322580645161,75.29411765,1.176470588,North East and North Cumbria ICB - 01H ,21.23
Greater Manchester ICB - 14L ,nE38000217,6.45973994193742,6.21279194016181,54.6023507861395,29.7206533353686,9.46420393833003,55.3045336589834,44.6954663410166,49.4275683101816,46.038772706457,83.9413829949626,38.0094642039383,32.8101802757158,28.9921346259374,59.1366380098774,90.2505944759466,62.61398176,2.127659574,Greater Manchester ICB - 14L ,NA
"Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A ",nE38000221,5.66209902339721,4.73525613430908,45.2001721911322,36.0094705122686,14.0551011622901,57.1459319845028,42.8540680154972,63.5815755488592,23.3964700817908,86.1170899698666,52.4106758501937,34.4664498965415,29.9546142208775,62.7836611195159,92.965204236006,62.58278146,8.940397351,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A ",11.828
"Bristol, North Somerset and South Gloucestershire ICB - 15C ",nE38000222,6.12422243388483,3.81559690570771,42.3165377378214,38.1455153669245,15.7118962993937,56.6485469370688,43.3514530629312,77.4200292703324,13.035751620322,86.5251933932678,38.9086347480661,31.8061284619918,28.6922890983805,60.7324147933285,91.0321489001692,72.85974499,10.74681239,"Bristol, North Somerset and South Gloucestershire ICB - 15C ",19.693
"Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y ",nE38000223,6.26570324167618,3.96551724137931,42.088122605364,37.5287356321839,16.3984674329502,57.2413793103448,42.7586206896552,63.4865900383142,23.3716475095785,86.7241379310345,47.6819923371648,33.9181286549708,34.7508305647841,64.1860465116279,92.358803986711,73.28244275,22.51908397,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y ",10.027
West Yorkshire ICB - 15F ,nE38000225,6.54735875006725,4.67529569292569,44.1196161571078,36.2865431823254,14.9185449676412,55.1997322026333,44.8002677973667,77.0363758089712,22.0040169604999,89.1765230975229,48.1365766569962,33.5821966977746,31.757180484134,63.2133450395083,91.6718926376521,58.90985325,6.498951782,West Yorkshire ICB - 15F ,27.301
Lancashire and South Cumbria ICB - 02M ,nE38000226,7.34925661247992,2.08535402521823,34.8690591658584,44.8108632395732,18.2347235693501,57.7109602327837,42.3375363724539,90.4946653734239,1.64888457807953,83.996120271581,45.4898157129001,38.5139740967962,34.2013888888889,64.9884259259259,93.1134259259259,58.94736842,1.052631579,Lancashire and South Cumbria ICB - 02M ,18.723
Lancashire and South Cumbria ICB - 01E ,nE38000227,6.55257566186183,4.40758293838863,44.1706161137441,36.1611374407583,15.2132701421801,56.7772511848341,43.175355450237,71.042654028436,24.218009478673,85.2132701421801,31.3270142180095,39.4718554551772,32.7566964285714,63.9508928571429,91.796875,72.72727273,3.636363636,Lancashire and South Cumbria ICB - 01E ,23.938
Lancashire and South Cumbria ICB - 01K ,nE38000228,6.85263837450307,2.59249257358898,35.5117472319741,43.0731839049419,18.8495814204699,55.2254928436403,44.8015122873346,87.3886038347286,2.1874156089657,81.5014852822036,37.2940858763165,31.2549642573471,37.6744186046512,67.0099667774086,92.4252491694352,72.39263804,0.613496933,Lancashire and South Cumbria ICB - 01K ,21.78
Devon ICB - 15N ,nE38000230,7.21866513028415,2.7733177638301,35.140855349584,42.6288133119253,19.4570135746606,55.8604583272515,44.1395416727485,73.1717997372646,2.80251058239673,89.0526930375128,42.0887461684426,34.0041229017375,30.9900746452301,64.34254778115,92.5108686736117,73.69668246,25,Devon ICB - 15N ,20.17
"Bath and North East Somerset, Swindon and Wiltshire ICB - 92G ",nE38000231,6.95783374345473,3.4561981819998,40.7651583258416,39.0670262711018,16.7016282089701,56.4179402657077,43.5820597342923,66.3570072919788,8.41074817700529,89.5015482968734,44.9006093297373,33.8479501816295,30.4770416713216,63.8587867277399,92.5259747514244,61.44200627,15.36050157,NA,NA
West Yorkshire ICB - 36J ,nE38000232,8.92151847951457,6.35368866925521,48.0291799035181,32.6273679256383,12.9897635015884,53.053300388281,46.946699611719,48.3115660665961,45.770090598894,89.5399458759854,34.3334509942346,32.5606891151135,29.4512435846822,60.00789577576,90.5250690880379,55.38116592,5.156950673,NA,NA
Cheshire and Merseyside ICB - 27D ,nE38000233,6.73141710939368,2.97829379101464,38.0742049469965,41.0777385159011,17.8697627460878,56.8147400302877,43.1726400807673,88.2130237253912,3.19283190307925,85.3987884906613,33.1903079252903,33.9744775291289,34.1929746554024,65.5698829109234,93.0042982066103,70.08547009,5.413105413,NA,NA
North East and North Cumbria ICB - 84H ,nE38000234,8.25810091016587,3.44483985765125,41.3665480427046,40.6548042704626,14.5338078291815,55.729537366548,44.270462633452,95.4163701067616,1.73665480427046,89.7935943060498,33.7935943060498,35.978835978836,30.5908513341804,62.9606099110546,92.1219822109276,64.83739837,4.87804878,NA,NA
Sussex ICB - 97R ,nE38000235,7.07084832108497,2.6,36.25,42.55,18.6166666666667,56.45,43.55,77,5.51666666666667,83.9833333333333,38.7166666666667,33.7056341523951,31.9712975882001,64.1419174805661,92.8642615108631,53.84615385,2.564102564,NA,NA
Herefordshire and Worcestershire ICB - 18C ,nE38000236,7.41096222722129,2.71317829457364,36.5227021040975,42.4031007751938,18.3610188261351,56.7331118493909,43.2668881506091,77.6854928017719,4.07530454042082,84.2524916943522,29.6124031007752,35.4194187582563,30.7611272056887,64.4324466684224,93.0076376086384,70.57471264,2.528735632,NA,NA
Kent and Medway ICB - 91Q ,nE38000237,7.03847098517264,3.34372485921158,41.2107803700724,40.2453740949316,15.1950925181014,56.8131536604988,43.1818181818182,77.8811343523733,8.81436041834272,82.7182220434433,28.6806114239743,34.4789790965317,31.0727572116851,63.9202293102397,92.1144111727755,65.08355321,8.707124011,NA,NA
Lincolnshire ICB - 71E ,nE38000238,7.89316484257678,2.84090909090909,37.8305785123967,42.3347107438017,16.9834710743802,56.5495867768595,43.4400826446281,86.8078512396694,3.00619834710744,89.9070247933884,34.1632231404959,36.8370431437208,31.3370954739145,63.1463779799608,92.8711274904987,69.53488372,2.325581395,NA,NA
Norfolk and Waveney ICB - 26A ,nE38000239,7.60882965393728,2.95819935691318,36.0128617363344,42.7411575562701,18.2877813504823,56.2379421221865,43.7620578778135,82.9180064308682,3.36816720257235,88.6495176848875,36.8006430868167,33.1106974707106,30.6457464175585,62.8060946852893,92.245601306004,59.4017094,3.561253561,NA,NA
North Central London ICB - 93C ,nE38000240,6.07192122913,4.50846143909056,49.2959565947552,33.4775868750807,12.7244542048831,53.8883865133704,46.1116134866296,41.1380958532489,53.8173362614649,84.7306549541403,36.2485466993928,41.4199006805223,33.0575346663602,65.4255726652877,91.8179728797978,67.578125,4.817708333,NA,NA
Humber and North Yorkshire ICB - 42D ,nE38000241,6.81934138577402,2.31877532642954,35.3894642053129,42.9761368752814,19.2931112111661,56.9788383610986,43.0211616389014,78.0504277352544,2.45384961728951,90.8599729851418,44.3043674020711,36.8482039397451,32.2169457635591,66.1084728817796,94.0014996250937,56.07843137,5.490196078,NA,NA
Nottingham and Nottinghamshire ICB - 52R ,nE38000243,6.90651850434945,4.2025672586601,42.9664146298576,37.875857218217,14.963952874978,55.5389484789872,44.4610515210128,81.158783189731,14.4979778442061,89.950764902409,38.5704237735185,31.642034213895,29.6582786644473,61.1475570351513,91.2660334867326,56.95364238,6.456953642,NA,NA
South East London ICB - 72Q ,nE38000244,6.28027592817651,4.6698957565547,51.6584184479309,31.7047488680636,11.9616721069812,53.3800147414973,46.6199852585027,47.088554280299,49.8631146677898,84.2687164367695,42.1817416026114,35.8758348512447,32.4200626959248,62.7899686520376,90.0815047021944,66.08187135,7.992202729,NA,NA
South West London ICB - 36L ,nE38000245,5.73531761595561,4.42903247957152,48.1906200645471,34.560186774703,12.8132939641557,55.421273089336,44.578726910664,44.125523587173,50.6214378905445,85.779029046213,42.02430817826,35.4867083659109,31.9388576025744,63.8133547868061,91.6894609814964,72.78911565,7.619047619,NA,NA
Surrey Heartlands  ICB - 92A ,nE38000246,5.73249406739972,3.32200416620985,39.3158644885429,38.7457515623287,18.6163797829185,57.7129700690714,42.2760662208091,70.35412783686,15.4040127179037,86.9970397982677,45.6967437780945,37.1531423428829,36.0991651909942,68.7958512522135,93.6630407285606,65.0273224,9.471766849,NA,NA
North East and North Cumbria ICB - 16C ,nE38000247,7.71566679933165,4.49079754601227,43.4969325153374,38.3803680981595,13.6319018404908,55.5460122699387,44.4539877300614,85.1411042944785,6.68711656441718,89.2515337423313,33.0920245398773,35.8859339955143,29.1655191407326,62.2142660424126,91.6138804736987,70.80152672,4.007633588,NA,NA
Sussex ICB - 70F ,nE38000248,7.37590367921739,3.12035661218425,36.9489846458643,40.8717186726102,19.0589400693413,56.186230807330404,43.8038632986627,66.8746904408123,9.47994056463596,85.9930658741951,43.1896978702328,33.4776536312849,30.7950468695753,64.587432010184,92.7207499132045,64.82142857,3.928571429,NA,NA
"Bedfordshire, Luton and Milton Keynes ICB - M1J4Y ",nE38000249,7.17462311710731,5.3368729403149,47.7023068473087,34.4745514463566,12.4862687660198,55.8678139875503,44.1321860124497,54.7143903332113,32.2226290735994,87.0102526547052,39.4269498352252,31.6145181476846,28.877400295421,61.9117957374974,91.6543574593796,60.82474227,10.16200295,NA,NA
Coventry and Warwickshire ICB - B2M3M ,nE38000251,6.87113530151101,3.98358055788786,42.7092079485027,38.2964828808658,15.0107286127437,55.7794570389029,44.2205429610971,67.8048325403489,20.4403395839164,84.7467114469633,22.5860621326616,38.5645654389285,31.9050248481502,65.0138045278851,93.1308669243512,67.95952782,4.047217538,NA,NA
Frimley ICB - D4U1Y ,nE38000252,6.89650294473147,4.68710731339533,46.3307363659211,35.2349836642372,13.7597386277959,56.5343051017844,43.4656948982156,58.6328223171651,34.2674038703192,87.4717265644634,49.2837396330736,36.4114751315566,32.430095128279,65.364658402998,92.951859325454,72.19730942,15.69506726,NA,NA
Hampshire and Isle Of Wight ICB - D9Y0V ,nE38000253,6.7262670872151,3.32157196739263,39.0923470008517,40.5706290302957,17.01545200146,56.3328872125563,43.6671127874437,75.5505535953279,6.20513444457963,83.580727582431,32.9967149288235,33.5759781619654,30.4541471962617,62.8431658878505,92.1290887850467,67.64069264,9.74025974,NA,NA
West Yorkshire ICB - X2C4Y ,nE38000254,8.14582027417899,5.56080953281634,46.5292226215245,35.1428031019482,12.7482504255722,54.870436920749,45.129563079251,60.7717041800643,33.9133724229242,88.5379232078684,37.0342349158313,33.4097859327217,26.8778086882089,62.1442328268778,91.4187887866467,68.95604396,11.26373626,NA,NA
North East London ICB - A3A8R ,nE38000255,7.62739556114731,6.92817888952056,55.6187227591435,28.0613985218874,9.39169982944855,53.7350767481524,46.2649232518476,30.3316278188365,67.6823953003601,83.2328974796286,41.5387530794012,37.5923970432946,29.0493281796429,60.5282532670716,90.56690594515,65.61151079,4.748201439,NA,NA
North West London ICB - W2U3Z ,nE38000256,7.2492836151739,5.62455296183107,51.4825411275115,31.7153260940243,11.1775798166331,54.876780024709,45.123219975291,27.531048832824,68.8406268287925,86.4718122114572,43.1464984719423,38.2036824949344,32.6472809667674,66.5030211480363,92.7907854984894,61.38007791,8.235948804,NA,NA
"Shropshire, Telford and Wrekin ICB - M2L0M ",nE38000257,7.27388106524545,2.82767206117731,38.5381468966744,42.1661035034679,16.4502934376667,56.9802596478748,43.0019562511115,85.7371509870176,5.47750311221768,85.6482304819491,20.4339320647341,33.0647257603327,30.1247401247401,61.2681912681913,91.7671517671518,75.09881423,2.371541502,NA,NA
Birmingham and Solihull ICB - 15E ,nE38000258,8.78335186677232,3.5949044037232802,41.8188146647665,38.970102419829104,15.46358355142535,56.33238247090695,43.66313032855895,78.59341010517821,8.44856598210619,85.74402649364055,35.38746273363145,35.94910033517245,31.754101087713,63.592501966746,92.19164929048125,64.82941346999999,4.2072774525,NA,NA
Black Country ICB - D2P2L ,nE38000259,8.9277903286025,3.5949044037232802,41.8188146647665,38.970102419829104,15.46358355142535,56.33238247090695,43.66313032855895,78.59341010517821,8.44856598210619,85.74402649364055,35.38746273363145,35.94910033517245,31.754101087713,63.592501966746,92.19164929048125,64.82941346999999,4.2072774525,NA,NA
Cambridgeshire and Peterborough ICB - 06H ,nE38000260,6.27238896810768,3.5949044037232802,41.8188146647665,38.970102419829104,15.46358355142535,56.33238247090695,43.66313032855895,78.59341010517821,8.44856598210619,85.74402649364055,35.38746273363145,35.94910033517245,31.754101087713,63.592501966746,92.19164929048125,64.82941346999999,4.2072774525,NA,NA
Derby and Derbyshire ICB - 15M ,nE38000261,7.66222402259365,3.5949044037232802,41.8188146647665,38.970102419829104,15.46358355142535,56.33238247090695,43.66313032855895,78.59341010517821,8.44856598210619,85.74402649364055,35.38746273363145,35.94910033517245,31.754101087713,63.592501966746,92.19164929048125,64.82941346999999,4.2072774525,NA,NA
Northamptonshire ICB - 78H ,nE38000262,7.03780963558867,3.5949044037232802,41.8188146647665,38.970102419829104,15.46358355142535,56.33238247090695,43.66313032855895,78.59341010517821,8.44856598210619,85.74402649364055,35.38746273363145,35.94910033517245,31.754101087713,63.592501966746,92.19164929048125,64.82941346999999,4.2072774525,NA,NA
Greater Manchester ICB - 01Y ,nE38000263,8.43908556438901,3.5949044037232802,41.8188146647665,38.970102419829104,15.46358355142535,56.33238247090695,43.66313032855895,78.59341010517821,8.44856598210619,85.74402649364055,35.38746273363145,35.94910033517245,31.754101087713,63.592501966746,92.19164929048125,64.82941346999999,4.2072774525,NA,NA
